epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,1803.49,0.54848,0.62003,0.89789,0.69104,0.57545,0.62653,0.46499,0.92397,1.63529,1.15758,0.000665057,0.000665057,0.000665057
56,1839.87,0.56818,0.60534,0.90725,0.70668,0.52758,0.60316,0.45235,0.98391,1.67454,1.2338,0.000650909,0.000650909,0.000650909
57,1876.89,0.54266,0.56982,0.89604,0.53055,0.66897,0.5823,0.44211,0.99178,1.67822,1.24476,0.000636762,0.000636762,0.000636762
58,1914.43,0.55884,0.58302,0.89209,0.49025,0.6615,0.58101,0.4426,0.97178,1.60653,1.22666,0.000622615,0.000622615,0.000622615
59,1951.03,0.52154,0.5746,0.90235,0.44614,0.69633,0.58985,0.45528,0.93784,1.52257,1.21134,0.000608468,0.000608468,0.000608468
60,1987.26,0.52074,0.55187,0.89392,0.55464,0.67459,0.62953,0.47884,0.91267,1.3596,1.20151,0.000594321,0.000594321,0.000594321
61,2023.88,0.56576,0.586,0.91097,0.58934,0.713,0.6483,0.49299,0.92224,1.36791,1.21303,0.000580174,0.000580174,0.000580174
62,2062.71,0.52339,0.56508,0.90738,0.58433,0.70559,0.62157,0.47547,0.93716,1.41033,1.21624,0.000566027,0.000566027,0.000566027
63,2099.92,0.5612,0.60115,0.91682,0.53292,0.67666,0.59492,0.44879,0.94112,1.43207,1.19441,0.00055188,0.00055188,0.00055188
64,2136.52,0.51491,0.57498,0.89467,0.59259,0.63621,0.57042,0.41899,0.92042,1.52529,1.18892,0.000537733,0.000537733,0.000537733
65,2173.21,0.54715,0.5512,0.90179,0.57669,0.61057,0.55971,0.41586,0.92337,1.54812,1.17796,0.000523586,0.000523586,0.000523586
66,2211.02,0.52545,0.5606,0.89654,0.48887,0.68661,0.5504,0.41477,0.95299,1.62738,1.19376,0.000509438,0.000509438,0.000509438
67,2246.95,0.48872,0.55425,0.88875,0.47541,0.71777,0.54992,0.41966,0.9505,1.64261,1.19988,0.000495291,0.000495291,0.000495291
68,2283.7,0.5032,0.55398,0.89959,0.53096,0.7141,0.58079,0.43839,0.94255,1.5744,1.19729,0.000481144,0.000481144,0.000481144
69,2321.49,0.47823,0.5427,0.89862,0.56286,0.63109,0.59464,0.4397,0.94539,1.54431,1.20137,0.000466997,0.000466997,0.000466997
70,2364.21,0.50356,0.54201,0.89299,0.5624,0.61523,0.61195,0.45541,0.95299,1.48537,1.19485,0.00045285,0.00045285,0.00045285
71,2400.87,0.49265,0.51195,0.87088,0.56769,0.61523,0.60106,0.45179,0.95637,1.45453,1.1819,0.000438703,0.000438703,0.000438703
72,2442.1,0.49634,0.52132,0.87788,0.55666,0.69897,0.5754,0.41373,0.95606,1.49329,1.21047,0.000424556,0.000424556,0.000424556
73,2486.26,0.45669,0.49755,0.87586,0.57054,0.685,0.57047,0.41815,0.96159,1.50597,1.21907,0.000410409,0.000410409,0.000410409
74,2523.85,0.50435,0.51577,0.88479,0.5751,0.64265,0.59529,0.43007,1.00325,1.49034,1.23359,0.000396262,0.000396262,0.000396262
75,2561.09,0.49634,0.50948,0.8842,0.57688,0.69806,0.59742,0.42934,1.00494,1.46674,1.24486,0.000382115,0.000382115,0.000382115
76,2598.33,0.48471,0.51449,0.87844,0.61151,0.68265,0.6428,0.4717,0.99359,1.43954,1.2688,0.000367967,0.000367967,0.000367967
77,2635.85,0.47897,0.48573,0.8788,0.60858,0.69738,0.64522,0.47541,0.967,1.42502,1.26123,0.00035382,0.00035382,0.00035382
78,2674.99,0.47179,0.48406,0.87379,0.62598,0.70872,0.66119,0.49833,0.94578,1.39186,1.25178,0.000339673,0.000339673,0.000339673
79,2712.62,0.47485,0.49402,0.87428,0.63093,0.70498,0.67006,0.50997,0.96577,1.3725,1.25786,0.000325526,0.000325526,0.000325526
